"id","first_name","last_name","phone","date_of_birth","age","years_exp","crank","image_id"
55,"Kimberly","Rodriguez","001-337-932-1412x502","1994-05-05",0,30,"Chef",9055
56,"James","Bird","520.994.0973x75907","1991-07-07",0,24,"Helper Cook",9056
57,"Christina","Tyler","(294)391-4410","1972-06-26",0,4,"Chef",9057
58,"Eric","Hansen","302.522.9491","1987-03-23",0,8,"Chef",9058
59,"Gina","Smith","(832)646-0341","1998-03-31",0,12,"Helper Cook",9059
60,"Lindsey","Andrews","262-438-3213x574","2003-01-31",0,9,"A Cook",9060
61,"Lisa","Edwards","(656)232-8206x99694","1999-09-07",0,19,"B Cook",9061
62,"Jonathan","Warren","(605)923-7127x59049","1992-06-03",0,16,"Chef",9062
63,"Laura","Johnson","416.600.7727x40971","2002-07-13",0,6,"C Cook",9063
64,"Jacob","Delgado","346.232.3099x5634","1997-04-05",0,18,"A Cook",9064
65,"Brenda","Thomas","802.392.0191","1974-05-06",0,40,"Helper Cook",9065
66,"Michelle","Welch","732.914.8117x9425","1992-04-17",0,3,"A Cook",9066
67,"Zachary","Valenzuela","+1-284-294-8090","1982-06-02",0,32,"C Cook",9067
68,"Jose","Scott","(374)560-9178x6038","1986-08-19",0,18,"Chef",9068
69,"William","Dunn","742-372-8004x7191","1982-01-28",0,35,"B Cook",9069
70,"Melissa","Rivas","001-327-760-1873x7280","1976-03-30",0,10,"A Cook",9070
71,"Jeremiah","Johnson","(606)641-5890","2001-12-26",0,20,"Chef",9071
72,"Jennifer","Woods","001-759-634-9930x42094","1994-06-26",0,21,"Chef",9072
73,"Scott","Frost","2105208806","1997-12-12",0,8,"B Cook",9073
74,"Jason","Duarte","+1-561-481-9557x824","1971-04-21",0,45,"Chef",9074
75,"Dominique","Harrison","(323)613-2901","1977-04-26",0,33,"A Cook",9075
76,"Michael","Murray","+1-857-584-1170x83459","1997-08-13",0,8,"B Cook",9076
77,"Stacy","Williams","+1-342-299-5158x7516","1971-11-22",0,43,"B Cook",9077
78,"Jorge","Peterson","+1-708-246-4777","1994-09-13",0,5,"B Cook",9078
79,"James","Russell","001-282-981-8936x2680","1991-02-07",0,33,"C Cook",9079
80,"Kelly","Johnson","001-776-446-4586x482","1971-08-06",0,28,"A Cook",9080
81,"Wesley","Robinson","239-875-1925","1971-12-17",0,46,"Helper Cook",9081
82,"Austin","Andrews","439.553.4324","1971-03-05",0,12,"C Cook",9082
83,"Michelle","Collins","(390)984-7089x4807","2000-05-25",0,15,"Helper Cook",9083
84,"Mary","Roberts","(895)218-5410x4781","1992-10-28",0,23,"Chef",9084
85,"Alan","Jennings","+1-448-383-6111","1980-04-25",0,5,"A Cook",9085
86,"Jill","Mcneil","583-464-8806x1964","1981-10-31",0,22,"Chef",9086
87,"Isaac","Escobar","8476595929","1991-12-29",0,9,"B Cook",9087
88,"Nicholas","Murphy","(641)364-9372","1979-01-07",0,28,"A Cook",9088
89,"Jeffrey","Rivera","(262)901-0414x08061","1981-09-08",0,7,"C Cook",9089
90,"Jessica","Moore","(853)658-0505x8921","1976-12-10",0,21,"B Cook",9090
91,"Jonathan","Blanchard","802-942-4054x90668","2003-10-19",0,16,"Chef",9091
92,"Sheri","Alexander","393.847.2111x70124","1997-08-25",0,12,"Helper Cook",9092
93,"Brandon","West","907-859-0235","1991-04-02",0,30,"Helper Cook",9093
94,"Jack","Hernandez","301-419-9488","1994-07-20",0,22,"C Cook",9094
95,"Charles","Collins","(975)638-8900x422","1994-10-29",0,3,"B Cook",9095
96,"Melissa","Cordova","221.296.3388x677","1978-05-26",0,15,"C Cook",9096
97,"Michelle","Perez","+1-636-527-4208","1995-04-16",0,24,"C Cook",9097
98,"Albert","Brown","258-709-4600x7041","1993-07-21",0,22,"Chef",9098
99,"Vincent","Martinez","001-524-738-3913","1979-09-12",0,12,"A Cook",9099
100,"Christopher","Hunter","001-897-659-1604x4338","1976-12-06",0,19,"Chef",9100
